Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,32.292,32.742,33.185,33.624,34.06,34.495,34.928,35.361,35.796,36.234,36.678,37.128,37.587,38.056,38.54,39.039,39.556,40.092,40.65,41.234,41.853,42.513,43.217,43.963,44.747,45.566,46.417,47.288,48.164,49.028,49.856,50.627,51.331,51.968,52.539,53.055,53.533,53.997,54.468,54.959,55.482,56.044,56.637,57.25,57.875,58.5,59.11,59.694,60.243,60.754,61.226,61.666,62.086,62.494,62.895,63.288,63.673
Angola,33.251,33.573,33.914,34.272,34.645,35.031,35.426,35.828,36.234,36.64,37.047,37.46,37.878,38.297,38.712,39.11,39.478,39.81,40.099,40.344,40.546,40.71,40.848,40.97,41.085,41.193,41.292,41.382,41.471,41.572,41.696,41.855,42.06,42.329,42.677,43.125,43.695,44.385,45.192,46.105,47.113,48.2,49.341,50.508,51.676,52.833,53.974,55.096,56.189,57.231,58.192,59.042,59.77,60.373,60.858,61.241,61.547
Albania,62.279,63.298,64.187,64.911,65.461,65.848,66.108,66.302,66.485,66.687,66.933,67.235,67.58,67.951,68.341,68.734,69.108,69.447,69.741,69.99,70.207,70.416,70.635,70.876,71.134,71.388,71.605,71.76,71.843,71.86,71.836,71.803,71.802,71.86,71.992,72.205,72.495,72.838,73.208,73.588,73.955,74.286,74.575,74.82,75.028,75.217,75.418,75.656,75.943,76.281,76.652,77.031,77.389,77.702,77.963,78.174,78.345
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United arab emirates,52.265,53.312,54.349,55.375,56.385,57.374,58.33,59.248,60.12,60.945,61.721,62.451,63.143,63.802,64.433,65.037,65.617,66.171,66.701,67.209,67.696,68.163,68.611,69.04,69.452,69.845,70.219,70.575,70.913,71.234,71.541,71.837,72.122,72.401,72.674,72.943,73.21,73.473,73.732,73.987,74.239,74.487,74.73,74.968,75.2,75.422,75.632,75.828,76.012,76.183,76.344,76.498,76.648,76.798,76.948,77.101,77.256
Argentina,65.022,65.141,65.233,65.311,65.388,65.481,65.603,65.76,65.953,66.184,66.449,66.74,67.044,67.349,67.652,67.95,68.248,68.549,68.856,69.164,69.464,69.746,70.003,70.234,70.438,70.623,70.797,70.971,71.155,71.352,71.565,71.79,72.023,72.256,72.489,72.719,72.947,73.173,73.397,73.618,73.832,74.039,74.236,74.424,74.603,74.775,74.941,75.105,75.268,75.431,75.595,75.761,75.926,76.089,76.252,76.415,76.577
Armenia,65.971,66.402,66.837,67.276,67.715,68.152,68.587,69.015,69.425,69.808,70.143,70.411,70.604,70.723,70.774,70.783,70.783,70.798,70.838,70.897,70.938,70.91,70.776,70.519,70.15,69.698,69.205,68.732,68.332,68.038,67.879,67.87,67.99,68.218,68.538,68.938,69.404,69.912,70.434,70.944,71.409,71.8,72.112,72.347,72.512,72.625,72.715,72.815,72.946,73.119,73.331,73.571,73.814,74.044,74.255,74.445,74.618
Antigua and barbuda,62.115,62.555,62.979,63.385,63.774,64.148,64.51,64.864,65.212,65.557,65.897,66.232,66.558,66.875,67.181,67.479,67.768,68.051,68.328,68.602,68.873,69.141,69.408,69.671,69.931,70.187,70.435,70.675,70.907,71.132,71.351,71.567,71.783,71.999,72.218,72.44,72.663,72.887,73.108,73.327,73.541,73.752,73.957,74.158,74.354,74.544,74.727,74.905,75.078,75.247,75.412,75.574,75.733,75.892,76.05,76.207,76.364
Australia,70.81707317,70.97317073,70.94243902,70.91170732,70.88097561,70.8502439,70.8195122,70.86926829,70.91902439,70.96878049,71.01853659,71.06829268,71.45756098,71.84682927,72.23609756,72.62536585,73.01463415,73.34439024,73.67414634,74.00390244,74.33365854,74.66341463,74.90487805,75.14634146,75.38780488,75.62926829,75.87073171,76.15170732,76.43268293,76.71365854,76.99463415,77.27560976,77.37804878,77.87804878,77.87804878,77.82926829,78.07804878,78.4804878,78.63170732,78.93170732,79.23414634,79.63414634,79.93658537,80.23902439,80.4902439,80.84146341,81.04146341,81.29268293,81.39512195,81.54390244,81.69512195,81.89512195,82.04634146,82.14878049,82.3,82.4,82.5
Austria,68.58560976,69.57731707,69.3095122,69.44365854,69.92195122,69.72219512,70.04585366,69.91780488,70.05756098,69.83317073,69.91463415,70.11463415,70.46341463,71.01463415,71.01219512,71.11463415,71.56585366,71.91463415,72.01219512,72.31219512,72.46341463,72.81219512,72.96097561,73.01219512,73.61219512,73.81463415,74.31707317,74.76829268,75.21707317,75.26585366,75.56829268,75.61707317,75.81707317,76.06829268,76.4195122,76.66829268,76.87073171,77.3195122,77.67073171,77.87560976,78.12682927,78.57560976,78.67804878,78.63170732,79.1804878,79.33170732,79.8804878,80.1804878,80.43170732,80.33170732,80.5804878,80.98292683,80.93658537,81.13658537,81.4902439,81.1902439,80.8902439
Azerbaijan,61.035,61.257,61.47,61.679,61.89,62.104,62.322,62.539,62.751,62.953,63.141,63.31,63.457,63.583,63.688,63.776,63.852,63.922,63.992,64.069,64.161,64.28,64.424,64.587,64.759,64.913,65.016,65.053,65.021,64.935,64.827,64.745,64.731,64.81,64.991,65.256,65.573,65.899,66.207,66.491,66.763,67.054,67.391,67.791,68.249,68.75,69.269,69.774,70.238,70.646,70.987,71.26,71.478,71.656,71.8,71.921,72.026
Burundi,41.281,41.592,41.907,42.225,42.54,42.838,43.103,43.328,43.515,43.675,43.829,44.006,44.232,44.517,44.865,45.266,45.701,46.141,46.562,46.953,47.314,47.657,47.992,48.317,48.618,48.845,48.941,48.884,48.684,48.379,48.053,47.816,47.752,47.911,48.295,48.86,49.526,50.186,50.758,51.213,51.545,51.779,51.977,52.19,52.437,52.735,53.09,53.492,53.926,54.386,54.861,55.338,55.807,56.259,56.688,57.094,57.481
Belgium,69.70195122,70.52097561,70.2195122,70.05146341,70.75512195,70.62536585,70.70634146,71.01292683,70.69317073,70.76487805,70.97195122,71.0604878,71.40512195,71.63536585,71.98585366,71.97121951,72.1197561,72.77390244,72.69804878,73.19365854,73.20707317,73.62170732,73.88804878,73.86902439,74.40487805,74.5202439,74.73170732,75.36585366,75.56585366,75.63268293,76.05195122,76.19219512,76.35121951,76.34536585,76.69170732,76.84073171,77.18731707,77.37073171,77.47317073,77.6195122,77.72195122,77.97317073,78.07560976,78.12926829,78.87804878,78.9804878,79.3804878,79.78292683,79.6804878,80.03414634,80.18292683,80.58536585,80.38536585,80.58780488,81.28780488,80.99268293,80.99268293
Benin,37.271,37.727,38.188,38.655,39.13,39.615,40.109,40.61,41.117,41.63,42.152,42.684,43.229,43.781,44.337,44.882,45.399,45.883,46.335,46.764,47.19,47.643,48.145,48.71,49.339,50.034,50.79,51.581,52.372,53.132,53.812,54.366,54.776,55.042,55.174,55.203,55.17,55.133,55.139,55.218,55.391,55.668,56.025,56.436,56.887,57.355,57.817,58.255,58.654,59.009,59.319,59.595,59.855,60.113,60.373,60.639,60.907
Burkina faso,34.432,34.897,35.369,35.847,36.331,36.815,37.291,37.754,38.207,38.652,39.095,39.542,40.003,40.493,41.025,41.63,42.343,43.166,44.081,45.06,46.049,46.984,47.81,48.486,48.992,49.323,49.492,49.55,49.545,49.505,49.454,49.409,49.374,49.36,49.38,49.445,49.557,49.713,49.914,50.168,50.489,50.893,51.384,51.956,52.602,53.31,54.063,54.841,55.618,56.376,57.096,57.762,58.377,58.942,59.457,59.927,60.361
